,Classification,Date,Polarisation,Mean,Variance,Median,Standard Deviation,Mode,Max,Min
0,Open Water,2020-08-04,HH,-19.2057221502392,4.49390340514304,-19.064630364322,2.11988287533605,-19.5625315520721,-12.7002173703844,-29.7284409312964
1,Open Water,2020-11-20,HH,-19.8262874900694,4.91396143919146,-19.6921452025406,2.21674568662972,-19.1869280752936,-12.0307647961995,-30.3442809383628
2,Open Water,2021-02-06,HH,-19.670108100182,4.58523791170253,-19.5598589128313,2.14131686391868,-19.68611864693,-13.5618687365484,-31.6292663813273
3,Open Water,2021-02-18,HH,-17.418877106719,4.28026040568376,-17.3138410771133,2.06887902151957,-16.813719040205,-9.38399782151362,-28.589707562434
4,Open Water,2021-02-24,HH,-19.6455767164753,5.37420317569415,-19.5631430520963,2.3182327699552,-19.1868423765205,-11.0651094868077,-31.6079277784844
5,Open Water,2021-03-14,HH,-16.6386162037747,4.04393035071282,-16.5614532660383,2.01095259782841,-16.8128360534082,-10.2717722024961,-26.2547858631939
6,Open Water,2021-03-20,HH,-16.5508093083812,4.47744137329516,-16.4320736921458,2.11599654378148,-15.5677037588483,-9.17641291484575,-27.1978314110595
7,Open Water,2021-04-13,HH,-17.7361103183527,5.67140233203775,-17.6881988583412,2.38147062380323,-17.0632907801291,-8.96383622159373,-29.8397740113962
,,,,-18.2123407491363,4.7637767126168,-18.1158162944438,2.1790848724909,,,
